ticker,MAE,RMSE
AAPL,0.11951958123028143,0.14003893807764423
MSFT,0.0389713152137537,0.049070567870201115
AMZN,0.06201789745332084,0.07694317032999803
GOOGL,0.06438029009088737,0.0844951638010514
META,0.06321315851621709,0.0806624741746497
NVDA,0.211535473369043,0.2320437885036182
TSM,0.09772636710411108,0.12637530075967418
COST,0.11637987135857411,0.1343614699583169
PEP,0.04076993951499973,0.04759400767077105
JPM,0.07573571001641716,0.08675256142090221
TSLA,0.18653067630794795,0.21310929769037112
