date,actual_return,pred_return,residual,abs_error,actual_abs
2022-03-30 04:00:00,-0.03398496752889457,0.04338093,0.07736589854867759,0.07736589854867759,0.03398496752889457
2022-03-31 04:00:00,-0.014246977664729599,0.054869376,0.0691163537876811,0.0691163537876811,0.014246977664729599
2022-04-01 04:00:00,-0.024507553182682607,0.059520073,0.08402762641771755,0.08402762641771755,0.024507553182682607
2022-04-04 04:00:00,-0.07377184889786115,0.06130769,0.13507953993551602,0.13507953993551602,0.07377184889786115
2022-04-05 04:00:00,-0.04319042295956432,0.06560605,0.1087964731528741,0.1087964731528741,0.04319042295956432
2022-04-06 04:00:00,-0.008356967021311945,0.069911435,0.07826840226777954,0.07826840226777954,0.008356967021311945
2022-04-07 04:00:00,-0.04060632113059359,0.06931218,0.10991849872907,0.10991849872907,0.04060632113059359
2022-04-08 04:00:00,-0.02995799419667655,0.06638335,0.09634134111192161,0.09634134111192161,0.02995799419667655
2022-04-11 04:00:00,0.009905360108636962,0.0632557,0.05335033738014783,0.05335033738014783,0.009905360108636962
2022-04-12 04:00:00,-0.002568210869259069,0.056316204,0.058884415238327215,0.058884415238327215,0.002568210869259069
2022-04-13 04:00:00,-0.023634076981367436,0.045300722,0.06893479910355982,0.06893479910355982,0.023634076981367436
2022-04-14 04:00:00,-0.021402597199558393,0.042359762,0.06376235909330763,0.06376235909330763,0.021402597199558393
2022-04-18 04:00:00,-0.013356047275791205,0.030369349,0.043725396099815406,0.043725396099815406,0.013356047275791205
2022-04-19 04:00:00,-0.0654149114870961,0.015834764,0.0812496751332219,0.0812496751332219,0.0654149114870961
2022-04-20 04:00:00,-0.06586663205719301,0.0070265085,0.07289314050770113,0.07289314050770113,0.06586663205719301
2022-04-21 04:00:00,-0.016845705780468734,0.0025819987,0.019427704486332686,0.019427704486332686,0.016845705780468734
2022-04-22 04:00:00,-0.0259217998089758,-0.005599793,0.020322006762262923,0.020322006762262923,0.0259217998089758
2022-04-25 04:00:00,-0.030671969649668007,-0.02448722,0.006184749898786812,0.006184749898786812,0.030671969649668007
2022-04-26 04:00:00,0.01694745642028206,-0.04081449,-0.0577619455464875,0.0577619455464875,0.01694745642028206
2022-04-27 04:00:00,0.058604778159171644,-0.063239984,-0.12184476237347752,0.12184476237347752,0.058604778159171644
2022-04-28 04:00:00,-0.04288912531446609,-0.08642874,-0.04353961381603089,0.04353961381603089,0.04288912531446609
2022-04-29 04:00:00,-0.0008814471042324357,-0.0916811,-0.09079965332387196,0.09079965332387196,0.0008814471042324357
2022-05-02 04:00:00,-0.03659845197118017,-0.09744095,-0.060842498601310524,0.060842498601310524,0.03659845197118017
2022-05-03 04:00:00,-0.030191589987729195,-0.10905301,-0.07886141827061355,0.07886141827061355,0.030191589987729195
2022-05-04 04:00:00,-0.12361458600414998,-0.11352242,0.010092168160808157,0.010092168160808157,0.12361458600414998
2022-05-05 04:00:00,-0.0935485382112562,-0.10567621,-0.01212767320546515,0.01212767320546515,0.0935485382112562
2022-05-06 04:00:00,-0.06684714585544871,-0.10420058,-0.03735343337056829,0.03735343337056829,0.06684714585544871
2022-05-09 04:00:00,-0.043824353445262254,-0.11168193,-0.06785757727554387,0.06785757727554387,0.043824353445262254
2022-05-10 04:00:00,-0.03470294181377209,-0.117021315,-0.08231837298601352,0.08231837298601352,0.03470294181377209
2022-05-11 04:00:00,-0.039542977306991745,-0.12561864,-0.08607565930113203,0.08607565930113203,0.039542977306991745
2022-05-12 04:00:00,-0.03723041428202922,-0.12641814,-0.08918772922878926,0.08918772922878926,0.03723041428202922
2022-05-13 04:00:00,-0.06690210315005007,-0.13688672,-0.06998461273892698,0.06998461273892698,0.06690210315005007
2022-05-16 04:00:00,-0.01683741329460009,-0.14763865,-0.13080123545379774,0.13080123545379774,0.01683741329460009
2022-05-17 04:00:00,-0.061345242785421306,-0.1485061,-0.08716086216071517,0.08716086216071517,0.061345242785421306
2022-05-18 04:00:00,-0.0021325021107143627,-0.15450788,-0.15237537333179052,0.15237537333179052,0.0021325021107143627
2022-05-19 04:00:00,0.04575164724345715,-0.14992177,-0.19567342210765393,0.19567342210765393,0.04575164724345715
2022-05-20 04:00:00,0.08395401075554698,-0.1609762,-0.24493021205139964,0.24493021205139964,0.08395401075554698
2022-05-23 04:00:00,0.03925847079927269,-0.16777557,-0.20703404214555565,0.20703404214555565,0.03925847079927269
2022-05-24 04:00:00,0.05778734827411647,-0.1718758,-0.22966315293682094,0.22966315293682094,0.05778734827411647
2022-05-25 04:00:00,0.07331979422930512,-0.1680614,-0.24138119964960847,0.24138119964960847,0.07331979422930512
2022-05-26 04:00:00,0.011066662041639752,-0.17137429,-0.18244095322320408,0.18244095322320408,0.011066662041639752
2022-05-27 04:00:00,-0.023667537964650265,-0.1702044,-0.1465368630515851,0.1465368630515851,0.023667537964650265
2022-05-31 04:00:00,-0.0008738910055701155,-0.16523266,-0.16435876738066035,0.16435876738066035,0.0008738910055701155
2022-06-01 04:00:00,-0.005055831691867851,-0.15173417,-0.14667834160601423,0.14667834160601423,0.005055831691867851
2022-06-02 04:00:00,-0.05834581486669954,-0.14558291,-0.08723709948571745,0.08723709948571745,0.05834581486669954
2022-06-03 04:00:00,-0.05842165010763267,-0.13517377,-0.07675211769746682,0.07675211769746682,0.05842165010763267
2022-06-06 04:00:00,-0.10267232095261658,-0.1248397,-0.022167379805840604,0.022167379805840604,0.10267232095261658
2022-06-07 04:00:00,-0.1134549071786557,-0.12547818,-0.012023271084054876,0.012023271084054876,0.1134549071786557
